Year_Built,Remodel_Year,Lot_Area,Total_SqFt,Basement_SqFt,Bedrooms,Bathrooms,Garage_Cars,Fireplaces,Has_Pool,Overall_Qual,Neighborhood,House_Condition,Garage_Type,Heating_Type,Sale_Price
1979,1979,6343,1793,1293,3,3.5,2,2,1,10,Suburbs,Good,Detached,Electric,607438
1960,2016,5056,1940,1131,6,2.0,0,2,0,7,Historic,Excellent,None,Gas,825881
1966,2002,12416,4476,1581,2,3.0,3,3,1,9,Rural,Poor,Detached,Oil,501362
1975,1996,10226,2787,473,3,1.0,2,1,1,7,Rural,Excellent,Attached,Electric,614647
1972,1972,3886,4377,1105,3,2.0,1,1,0,1,Suburbs,Good,Attached,Gas,604328
2005,2003,11584,4060,1661,5,1.5,1,0,0,9,Suburbs,Fair,Attached,Solar,728335
2001,2001,14530,4347,1107,4,2.0,2,1,0,5,Downtown,Good,Attached,Electric,1164637
1997,1997,6591,4194,1313,6,3.5,3,2,1,6,Historic,Fair,Attached,Gas,867843
1969,1969,19738,3443,1094,2,2.0,2,1,0,2,Rural,Excellent,Detached,Electric,621371
1951,2016,5631,2793,174,1,2.5,2,3,0,2,Rural,Good,Attached,Gas,376518
1980,1980,14370,4051,1851,3,2.5,2,1,0,4,Downtown,Excellent,Attached,Oil,1200000
1976,1976,5679,2609,841,1,2.5,1,1,1,4,Historic,Excellent,Attached,Oil,782998
1951,1951,7422,2004,1486,4,4.0,1,0,0,5,Waterfront,Poor,Detached,Solar,638299
1953,1953,10463,1758,1872,3,2.0,1,0,0,7,Suburbs,Excellent,Attached,Electric,679037
1962,2021,12613,2516,1418,1,3.0,3,2,0,1,Suburbs,Good,Detached,Electric,558262
1984,2001,4780,1812,865,5,2.5,2,3,0,10,Suburbs,Good,Attached,Oil,628466
2021,2021,12424,2618,1114,1,1.0,0,2,0,4,Suburbs,Good,None,Gas,549211
2015,2015,9571,2110,468,5,2.5,0,3,1,9,Suburbs,Fair,None,Electric,516020
1955,1955,3825,1274,1886,2,3.5,1,3,0,8,Suburbs,Excellent,Attached,Electric,618837
1980,2011,14155,1417,1457,4,1.5,2,0,0,3,Suburbs,Good,Attached,Gas,437430
1959,1959,5395,1440,1272,6,1.0,3,1,0,6,Rural,Poor,Attached,Gas,241787
